Object ID	x-center	y-center
945	701.52	308.95
946	205.25	309.75
947	208.75	308.50
948	322.75	308.50
949	663.64	309.75
950	216.25	310.00
951	689.83	310.33
952	784.38	311.20
953	67.05	311.40
954	160.25	310.50
955	422.33	311.19
956	543.19	311.19
957	574.60	311.30
958	790.14	311.43
959	239.45	313.07
960	318.00	312.50
961	530.25	312.11
962	775.25	312.50
963	152.75	313.25
964	257.00	313.00
965	290.19	313.67
966	295.75	313.00
967	385.50	312.50
968	415.33	313.81
969	671.76	315.39
970	84.08	314.81
971	209.75	313.50
972	549.83	316.04
973	751.75	314.25
974	280.60	315.90
975	522.75	314.75
976	745.67	316.33
977	448.92	317.08
978	495.00	318.36
979	577.19	317.97
980	717.00	317.75
981	230.49	318.71
982	523.94	319.06
983	689.00	321.58
984	279.75	320.75
985	282.17	317.83
986	366.89	320.75
987	511.36	319.79
988	789.33	319.92
989	201.75	321.00
990	519.19	321.56
991	534.75	321.50
992	376.21	322.92
993	403.92	322.08
994	795.50	322.00
995	71.73	323.27
996	149.75	323.00
997	207.36	324.07
998	222.50	322.50
999	470.08	322.67
1000	557.25	323.11
1001	576.17	323.69
1002	731.67	323.33
1003	769.04	323.76
1004	790.33	321.17
1005	281.50	324.75
1006	501.75	325.00
1007	561.50	325.42
1008	646.45	327.59
1009	111.75	326.25
1010	265.00	326.00
1011	313.11	329.99
1012	320.50	325.50
1013	425.67	326.44
1014	488.25	326.00
1015	721.36	326.34
1016	101.05	327.40
1017	237.67	328.08
1018	516.75	326.50
1019	705.64	327.75
1020	87.44	328.92
1021	207.00	328.50
1022	247.73	328.27
1023	668.40	328.27
1024	724.83	327.67
1025	142.15	329.30
1026	321.05	329.40
1027	389.08	328.67
1028	446.61	329.88
1029	524.83	328.67
1030	541.31	329.56
1031	561.50	327.25
1032	688.56	326.97
1033	173.57	330.23
1034	190.50	330.00
1035	754.75	331.00
1036	472.50	332.00
1037	690.31	333.00
1038	733.32	332.36
1039	179.50	334.00
1040	350.23	333.13
1041	114.89	334.75
1042	162.75	334.00
1043	531.75	334.00
1044	641.25	334.50
1045	706.31	334.44
1046	767.17	334.19
1047	295.13	335.76
1048	448.25	333.50
1049	496.04	335.95
1050	602.75	334.50
1051	685.83	334.67
1052	721.79	335.11
1053	252.08	336.81
1054	273.52	337.82
1055	314.83	336.58
1056	501.92	336.08
1057	143.75	336.50
1058	301.15	337.50
1059	365.70	337.60
1060	420.75	336.50
1061	736.69	339.21
1062	176.67	338.33
1063	256.56	338.44
1064	266.58	338.83
1065	280.50	337.50
1066	553.61	338.50
1067	686.50	337.50
1068	351.50	342.28
1069	408.41	340.06
1070	716.25	339.75
1071	246.18	340.67
1072	290.37	340.89
1073	441.90	340.30
1074	478.76	342.66
1075	505.75	339.50
1076	251.75	338.75
1077	298.72	342.43
1078	301.08	339.17
1079	591.74	341.19
1080	177.50	342.89
1081	241.81	343.08
1082	316.89	342.42
1083	416.15	342.30
1084	532.50	343.30
1085	603.58	342.83
1086	150.25	343.50
1087	572.64	344.50
1088	589.60	343.95
1089	743.64	347.73
1090	431.20	347.42
1091	457.42	345.42
1092	699.83	344.67
1093	129.25	347.25
1094	179.83	347.58
1095	200.33	347.19
1096	305.33	346.92
1097	484.00	347.25
1098	569.50	347.38
1099	590.39	347.79
1100	633.83	346.67
1101	650.00	346.50
1102	788.88	347.06
1103	248.50	347.50
1104	376.17	348.17
1105	442.25	347.50
1106	468.00	347.50
1107	664.75	348.85
1108	694.12	350.49
1109	66.25	348.50
1110	190.50	349.11
1111	254.75	349.89
1112	365.02	350.52
1113	383.90	349.25
1114	629.17	350.62
1115	438.67	350.08
1116	621.62	351.57
1117	710.83	349.67
1118	235.25	351.25
1119	424.34	352.59
1120	533.64	352.41
1121	561.77	352.32
1122	81.33	351.92
1123	354.65	353.31
1124	588.44	354.70
1125	771.27	352.51
1126	162.50	354.67
1127	441.50	352.50
1128	511.26	353.70
1129	574.33	354.08
1130	598.67	353.33
1131	643.02	353.55
1132	790.09	353.95
1133	94.36	357.60
1134	136.12	355.00
1135	186.50	353.50
1136	382.73	354.27
1137	449.60	353.70
1138	681.48	354.67
1139	709.75	353.50
1140	113.90	356.05
