ID	x	y	ap_radius	mag_F336W	mag_F555W	color
524	499.29	232.54	5.0	19.732	20.919	-1.187
525	652.04	233.68	5.0	19.810	19.775	0.035
526	787.44	236.33	5.0	17.843	18.333	-0.490
527	449.28	237.45	5.0	17.495	17.886	-0.391
528	100.49	235.97	5.0	18.848	19.536	-0.688
529	201.50	236.42	5.0	18.328	18.671	-0.343
530	267.56	235.19	5.0	19.799	20.189	-0.390
531	666.91	237.36	5.0	17.840	18.331	-0.491
532	796.42	237.49	5.0	18.179	18.560	-0.382
533	418.86	236.64	5.0	20.083	20.380	-0.298
534	69.08	236.92	5.0	19.377	20.672	-1.295
535	682.20	239.99	5.0	18.140	18.541	-0.401
536	153.93	239.33	5.0	19.498	19.866	-0.369
537	605.25	241.99	5.0	17.388	17.936	-0.548
538	712.73	242.29	5.0	17.155	17.716	-0.561
539	123.70	239.85	5.0	19.240	21.066	-1.826
540	402.33	239.25	5.0	20.311	22.588	-2.277
541	460.75	239.72	5.0	19.406	20.081	-0.675
542	569.77	239.75	5.0	20.221	21.606	-1.385
543	196.31	240.40	5.0	20.271	20.186	0.085
544	348.63	243.27	5.0	17.116	17.321	-0.205
545	428.23	241.70	5.0	17.739	18.160	-0.421
546	184.30	241.19	5.0	19.430	19.967	-0.537
547	221.27	244.64	5.0	17.214	17.683	-0.470
548	497.22	241.31	5.0	19.363	20.560	-1.197
549	755.60	244.24	5.0	17.898	18.437	-0.538
550	76.57	244.98	5.0	17.816	18.536	-0.720
551	190.90	244.45	5.0	18.280	18.859	-0.579
552	659.07	244.28	5.0	18.138	18.813	-0.675
553	238.50	245.00	5.0	18.743	19.170	-0.427
554	341.80	244.35	5.0	19.115	19.246	-0.131
555	482.14	243.96	5.0	20.582	21.814	-1.232
556	396.50	246.18	5.0	19.646	19.717	-0.071
557	503.29	246.27	5.0	17.825	18.413	-0.588
558	696.02	246.42	5.0	19.042	19.537	-0.495
559	526.91	251.73	5.0	15.197	15.352	-0.155
560	313.72	248.21	5.0	18.354	18.926	-0.572
561	320.62	249.24	5.0	18.915	19.192	-0.277
562	434.39	248.39	5.0	19.476	19.684	-0.209
563	493.01	248.55	5.0	19.587	20.146	-0.559
564	668.30	257.25	5.0	16.879	17.711	-0.832
565	789.82	249.44	5.0	20.741	21.740	-0.999
566	418.33	252.09	5.0	17.743	18.212	-0.469
567	248.41	250.92	5.0	18.864	19.262	-0.398
568	263.46	252.32	5.0	17.125	17.783	-0.659
569	443.81	253.12	5.0	17.810	18.213	-0.403
570	470.02	250.22	5.0	20.511	21.022	-0.510
571	565.90	250.35	5.0	21.027	20.573	0.454
572	717.11	252.89	5.0	18.945	19.162	-0.217
573	550.13	252.89	5.0	19.941	19.877	0.064
574	636.75	251.75	5.0	20.586	20.461	0.125
575	647.89	253.43	5.0	19.014	19.887	-0.873
576	782.95	252.79	5.0	20.640	21.495	-0.855
577	58.38	253.50	5.0	19.024	20.221	-1.197
578	189.96	254.05	5.0	18.241	18.738	-0.497
579	500.74	255.23	5.0	18.533	19.321	-0.788
580	586.51	255.08	5.0	19.692	20.503	-0.811
581	618.18	254.56	5.0	19.528	19.778	-0.250
582	126.35	259.49	5.0	16.701	16.938	-0.237
583	152.70	256.28	5.0	19.166	19.351	-0.185
584	275.33	256.58	5.0	18.370	19.179	-0.810
585	348.93	254.97	5.0	19.644	20.435	-0.792
586	376.53	255.35	5.0	19.840	19.949	-0.109
587	508.00	255.79	5.0	19.335	20.179	-0.844
588	116.05	256.80	5.0	19.540	19.977	-0.436
589	343.52	256.27	5.0	18.937	19.915	-0.978
590	483.11	257.81	5.0	17.377	18.041	-0.665
591	678.70	257.60	5.0	17.538	18.075	-0.537
592	85.41	258.53	5.0	18.138	18.617	-0.479
593	247.68	257.65	5.0	19.522	19.667	-0.145
594	435.69	257.44	5.0	22.830	21.446	1.384
595	635.57	257.38	5.0	20.277	20.515	-0.238
596	219.96	259.06	5.0	18.420	19.158	-0.738
597	427.40	259.51	5.0	19.442	19.819	-0.377
598	563.33	258.16	5.0	21.602	21.919	-0.317
599	465.67	259.00	5.0	23.195	22.666	0.530
600	752.33	260.50	5.0	19.083	19.652	-0.569
601	77.04	261.73	5.0	17.974	18.943	-0.969
602	346.96	259.64	5.0	19.752	19.546	0.205
603	574.01	262.78	5.0	17.780	18.502	-0.722
604	581.67	260.40	5.0	19.705	19.557	0.148
605	612.65	261.31	5.0	18.178	18.526	-0.348
606	787.53	261.33	5.0	20.792	20.918	-0.126
607	472.48	261.64	5.0	18.731	19.493	-0.762
608	502.17	261.25	5.0	19.609	19.540	0.069
609	700.49	261.91	5.0	19.680	19.530	0.149
610	758.37	262.40	5.0	20.982	20.683	0.299
611	532.14	263.05	5.0	18.348	19.263	-0.915
612	160.65	267.41	5.0	16.124	15.863	0.262
613	209.46	265.42	5.0	17.383	17.986	-0.603
614	264.96	264.10	5.0	18.012	18.450	-0.438
615	595.85	266.64	5.0	18.063	18.712	-0.649
616	144.36	266.00	5.0	20.606	20.700	-0.094
617	404.12	266.53	5.0	20.085	19.988	0.097
618	416.84	266.51	5.0	18.171	18.753	-0.582
619	695.61	270.66	5.0	15.291	15.406	-0.115
620	101.67	269.17	5.0	17.447	18.058	-0.611
621	373.39	270.67	5.0	17.291	17.783	-0.493
622	606.04	268.70	5.0	19.132	19.860	-0.729
623	723.44	269.92	5.0	18.611	19.143	-0.532
624	442.77	269.65	5.0	20.940	20.177	0.764
625	495.04	269.31	5.0	19.845	21.756	-1.911
626	559.09	269.50	5.0	19.450	21.380	-1.930
627	671.53	270.35	5.0	17.994	18.456	-0.462
628	756.07	271.19	5.0	18.377	18.674	-0.297
629	200.12	270.88	5.0	20.513	20.206	0.307
630	411.18	270.50	5.0	19.008	19.623	-0.615
631	260.08	271.39	5.0	19.014	19.248	-0.234
632	344.16	272.73	5.0	17.708	17.765	-0.056
633	362.92	270.92	5.0	21.546	21.405	0.141
634	684.39	273.01	5.0	19.894	20.481	-0.587
635	59.60	272.75	5.0	19.297	20.219	-0.921
636	147.97	272.87	5.0	19.608	19.742	-0.134
637	576.32	272.63	5.0	18.935	19.505	-0.570
638	233.88	274.63	5.0	19.540	19.675	-0.135
639	357.80	273.14	5.0	19.636	19.985	-0.349
640	397.60	273.91	5.0	18.495	18.981	-0.487
641	771.28	274.62	5.0	20.160	20.392	-0.232
642	127.27	276.68	5.0	18.679	20.030	-1.351
643	173.17	276.83	5.0	19.070	19.328	-0.258
644	190.26	276.64	5.0	19.064	19.270	-0.206
645	211.94	275.90	5.0	19.958	19.452	0.506
646	295.52	276.65	5.0	19.477	19.349	0.128
647	240.65	276.88	5.0	19.501	19.471	0.030
648	281.17	278.39	5.0	18.781	19.331	-0.550
649	505.43	278.38	5.0	17.403	17.972	-0.569
650	536.68	276.74	5.0	19.801	19.312	0.489
651	632.40	277.05	5.0	22.006	20.489	1.517
652	704.76	278.50	5.0	20.317	19.556	0.762
653	248.13	280.08	5.0	18.333	18.837	-0.504
654	656.72	281.14	5.0	17.256	17.781	-0.526
655	86.04	279.88	5.0	18.904	19.690	-0.786
656	338.98	278.78	5.0	20.799	21.321	-0.523
657	439.88	279.82	5.0	20.058	20.521	-0.463
658	511.19	278.74	5.0	20.368	19.680	0.688
659	56.19	281.46	5.0	18.245	19.154	-0.910
660	140.58	280.67	5.0	24.828	20.775	4.053
661	177.85	280.29	5.0	19.842	19.990	-0.147
662	735.85	281.82	5.0	18.275	18.870	-0.595
663	757.00	282.41	5.0	19.324	20.027	-0.703
664	264.72	282.03	5.0	19.681	19.637	0.044
665	580.77	282.50	5.0	18.944	20.104	-1.160
666	388.87	282.62	5.0	18.318	18.833	-0.515
667	529.84	281.90	5.0	18.935	20.267	-1.332
668	617.50	283.00	5.0	22.041	20.383	1.658
669	300.73	283.66	5.0	19.814	22.224	-2.410
670	396.99	284.78	5.0	18.395	19.166	-0.772
671	405.13	283.07	5.0	21.562	22.137	-0.576
672	451.86	285.19	5.0	18.362	19.299	-0.937
673	100.46	286.36	5.0	18.066	18.799	-0.733
674	183.24	286.81	5.0	18.014	18.364	-0.351
675	198.96	286.01	5.0	17.530	17.816	-0.286
676	284.92	286.94	5.0	18.662	19.014	-0.353
677	386.00	286.25	5.0	19.341	19.258	0.083
678	530.83	287.12	5.0	18.771	19.256	-0.485
679	670.00	288.93	5.0	17.415	17.548	-0.133
680	73.72	289.80	5.0	17.693	18.571	-0.878
681	644.15	287.06	5.0	19.853	19.921	-0.067
682	215.07	288.98	5.0	17.998	18.053	-0.054
683	276.39	288.06	5.0	18.978	19.690	-0.712
684	522.08	287.42	5.0	17.876	18.127	-0.251
685	176.28	290.19	5.0	19.484	20.558	-1.073
686	390.92	289.08	5.0	21.078	19.886	1.192
687	441.48	292.34	5.0	16.687	16.823	-0.137
688	51.17	290.00	5.0	19.348	20.513	-1.165
689	139.43	292.94	5.0	18.110	18.695	-0.585
690	430.70	291.41	5.0	18.822	19.627	-0.804
691	587.19	296.93	5.0	17.729	18.413	-0.684
692	607.06	295.05	5.0	16.925	17.476	-0.551
693	273.68	292.73	5.0	17.951	18.380	-0.428
694	296.85	292.32	5.0	18.335	19.189	-0.854
695	330.46	292.74	5.0	17.861	18.497	-0.636
696	551.11	292.64	5.0	18.473	18.847	-0.373
697	721.85	290.95	5.0	19.355	19.065	0.291
698	261.42	292.29	5.0	21.113	20.890	0.223
699	660.14	293.33	5.0	19.440	19.983	-0.543
700	754.49	295.30	5.0	16.684	16.781	-0.097
701	507.16	294.16	5.0	17.824	18.254	-0.429
702	621.90	294.68	5.0	19.396	19.473	-0.077
703	732.43	293.28	5.0	19.316	20.173	-0.857
704	68.59	296.12	5.0	17.748	18.533	-0.785
705	385.03	298.89	5.0	17.211	17.298	-0.087
706	452.60	295.05	5.0	18.684	20.128	-1.444
707	514.31	294.75	5.0	20.892	20.605	0.287
708	232.05	296.90	5.0	17.959	18.346	-0.387
709	650.42	296.33	5.0	19.961	22.046	-2.086
710	693.63	297.38	5.0	17.358	17.440	-0.082
711	327.11	297.92	5.0	18.146	18.443	-0.297
712	333.65	297.05	5.0	19.742	18.701	1.042
713	359.04	297.19	5.0	20.119	19.780	0.339
714	733.59	298.70	5.0	18.796	19.018	-0.223
715	63.25	298.25	5.0	20.001	20.393	-0.392
716	135.67	299.53	5.0	17.866	18.565	-0.698
717	427.42	298.67	5.0	22.943	22.056	0.887
718	172.50	301.64	5.0	19.560	19.624	-0.063
719	239.01	301.92	5.0	18.051	18.115	-0.064
720	300.44	301.06	5.0	18.182	18.718	-0.537
721	87.82	304.00	5.0	19.028	19.359	-0.332
722	114.31	303.04	5.0	17.692	18.242	-0.550
723	344.15	302.05	5.0	19.891	19.982	-0.092
724	463.41	304.45	5.0	18.094	18.893	-0.799
725	508.81	302.69	5.0	18.427	18.900	-0.473
726	601.38	302.68	5.0	19.430	21.819	-2.389
727	650.69	303.08	5.0	18.782	19.051	-0.268
728	563.60	303.67	5.0	19.776	19.593	0.183
729	612.58	303.67	5.0	19.819	19.580	0.240
730	725.73	304.21	5.0	19.342	19.443	-0.101
731	96.25	305.14	5.0	18.349	19.378	-1.030
732	303.80	304.85	5.0	19.352	19.658	-0.306
733	442.22	305.34	5.0	19.520	19.960	-0.440
734	644.20	304.90	5.0	21.665	20.558	1.107
735	711.44	305.41	5.0	19.551	19.729	-0.179
736	742.65	306.34	5.0	19.511	19.658	-0.147
737	200.96	306.12	5.0	18.658	19.628	-0.970
738	483.57	308.06	5.0	17.873	18.755	-0.882
739	527.49	306.82	5.0	17.632	17.767	-0.135
740	536.32	305.96	5.0	19.837	20.655	-0.818
741	701.40	309.01	5.0	17.442	17.902	-0.460
