ID	x	y
1190	414.78	426.20
1191	56.53	428.47
1192	158.69	427.50
1193	310.47	429.86
1194	422.41	427.57
1195	605.95	429.08
1196	114.89	432.50
1197	243.62	430.42
1198	681.79	432.40
1199	764.96	433.20
1200	479.00	430.19
1201	174.26	432.50
1202	591.72	436.49
1203	795.97	432.14
1204	222.87	432.80
1205	290.61	433.03
1206	423.29	433.12
1207	443.35	432.80
1208	541.56	435.11
1209	575.09	433.95
1210	206.21	441.77
1211	610.12	434.76
1212	667.58	433.88
1213	484.08	436.92
1214	536.78	438.12
1215	601.15	437.69
1216	716.80	437.78
1217	139.67	438.06
1218	291.44	438.00
1219	548.72	438.17
1220	166.55	442.04
1221	273.44	441.53
1222	304.12	442.46
1223	241.15	442.57
1224	448.37	443.90
1225	611.29	441.58
1226	690.24	442.36
1227	797.43	441.36
1228	324.14	442.59
1229	348.88	442.65
1230	466.51	442.85
1231	576.62	443.16
1232	734.33	443.27
1233	708.54	446.56
1234	393.25	446.14
1235	428.47	447.26
1236	571.28	446.22
1237	85.12	448.29
1238	222.92	447.17
1239	249.50	447.50
1240	469.40	448.94
1241	503.81	449.02
1242	562.18	449.39
1243	595.66	449.36
1244	148.95	450.35
1245	196.95	451.03
1246	231.21	449.95
1247	612.12	450.56
1248	105.89	450.25
1249	719.48	450.45
1250	782.39	450.39
1251	96.57	452.29
1252	459.60	451.72
1253	546.18	454.39
1254	553.24	455.56
1255	580.85	452.87
1256	724.25	452.62
1257	761.42	454.25
1258	126.80	453.05
1259	215.50	453.89
1260	483.40	452.73
1261	517.92	453.94
1262	592.50	452.50
1263	210.11	455.84
1264	54.86	456.32
1265	181.92	454.92
1266	322.89	456.39
1267	508.93	455.03
1268	311.44	456.65
1269	532.08	458.24
1270	722.63	458.60
1271	370.08	457.69
1272	460.79	457.42
1273	698.78	460.11
1274	747.44	458.94
1275	797.32	457.91
1276	318.09	458.92
1277	341.17	459.33
1278	437.94	461.72
1279	522.64	459.67
1280	389.87	460.37
1281	568.89	460.63
1282	670.61	460.69
1283	97.25	462.29
1284	217.14	462.75
1285	660.08	461.92
1286	792.50	462.16
1287	287.10	463.05
1288	303.41	462.43
1289	556.43	462.84
1290	169.24	464.07
1291	623.46	465.80
1292	485.16	465.83
1293	275.46	467.33
1294	567.79	466.61
1295	645.16	465.23
1296	700.86	466.26
1297	719.23	470.53
1298	746.53	467.36
1299	123.05	466.60
1300	368.20	470.55
1301	447.41	467.29
1302	495.73	466.97
1303	524.18	467.51
1304	730.75	466.88
1305	762.92	469.46
1306	781.18	467.78
1307	796.75	468.00
1308	90.54	469.33
1309	142.36	475.56
1310	437.56	471.06
1311	672.86	471.45
1312	769.99	469.39
1313	282.13	470.87
1314	391.05	474.09
1315	679.04	470.50
1316	736.30	472.74
1317	792.00	469.83
1318	236.25	471.00
1319	227.83	472.08
1320	428.94	474.32
1321	449.30	474.11
